"country","facility_id","weight","vig_weight","abs_weight"
"TANZANIA","1",0.109183587133884,0.00969085097312927,0.0321547538042068
"TANZANIA","10",0.657551825046539,0.1167251765728,0.193650141358376
"TANZANIA","100",0.71754777431488,0.191063016653061,0.23245096206665
"TANZANIA","101",0.866629421710968,0.1538395434618,0.255223870277405
"TANZANIA","102",1.24582946300507,0.331729739904404,0.476968586444855
"TANZANIA","103",0.243840396404266,0.0216426383703947,0.0718114152550697
"TANZANIA","104",0.243840396404266,0.0432852767407894,0.0718114152550697
"TANZANIA","105",0.30716073513031,0.0272627864032984,0.0904593616724014
"TANZANIA","106",0.453438580036163,0.321968227624893,0.360553801059723
"TANZANIA","107",0.140636786818504,0.0249651093035936,0.0414177775382996
"TANZANIA","108",0.194127485156059,0.0344604998826981,0.182946816086769
"TANZANIA","11",0.181520029902458,0.0161112453788519,0.053457960486412
"TANZANIA","110",0.240850880742073,0.0320659466087818,0.070931002497673
"TANZANIA","111",0.251862823963165,0.0223546884953976,0.0741740316152573
"TANZANIA","112",0.123437814414501,0.0219120383262634,0.0363526493310928
"TANZANIA","113",0.0978674739599228,0.00868646241724491,0.0288221389055252
"TANZANIA","114",0.138006746768951,0.012249119579792,0.0406432263553143
"TANZANIA","115",1.08752453327179,0.386103391647339,0.448388993740082
"TANZANIA","116",0.213595077395439,0.0758325681090355,0.0629041194915771
"TANZANIA","117",1.42314505577087,0.252629309892654,1.96985769271851
"TANZANIA","118",0.230809763073921,0.0204860735684633,0.0679738745093346
"TANZANIA","12",0.181520029902458,0.0161112453788519,0.053457960486412
"TANZANIA","120",0.446361809968948,,
"TANZANIA","121",0.0992815569043159,0.00881197210401297,0.0292385891079903
"TANZANIA","122",0.127036944031715,0.0225509367883205,0.0374125987291336
"TANZANIA","123",0.10494202375412,0.0186287611722946,0.0309056062251329
"TANZANIA","124",0.144192680716515,0.012798166833818,0.0424649938941002
"TANZANIA","125",0.115575551986694,0.0102581847459078,0.0340371988713741
"TANZANIA","126",0.355597913265228,0.0315619446337223,0.104724198579788
"TANZANIA","128",0.0556138567626476,0.00987228192389011,0.0163783766329288
"TANZANIA","129",0.12473475933075,0.0332133956253529,0.0367345996201038
"TANZANIA","13",0.181520029902458,0.0161112453788519,0.053457960486412
"TANZANIA","130",0.355597913265228,0.0631238892674446,0.104724198579788
"TANZANIA","131",0.399392426013947,0.106347091495991,0.152908280491829
"TANZANIA","132",0.719531416893005,0.095795601606369,0.254283905029297
"TANZANIA","133",0.532015800476074,0.141661018133163,0.156679570674896
"TANZANIA","135",0.310336589813232,0.137723341584206,0.127952516078949
"TANZANIA","136",0.460049867630005,0.122498482465744,0.135485485196114
"TANZANIA","138",1.969153881073,1.04866182804108,1.44979798793793
"TANZANIA","139",0.577722787857056,0.102554343640804,0.170140355825424
"TANZANIA","140",0.290621042251587,0.0386921502649784,0.0855883955955505
"TANZANIA","142",0.945343852043152,0.251718789339066,0.278405398130417
"TANZANIA","143",0.532015800476074,0.188881352543831,0.156679570674896
"TANZANIA","145",4.84442710876465,2.14989376068115,2.99605321884155
"TANZANIA","146",1.78059494495392,0.316081941127777,0.524388253688812
"TANZANIA","147",0.439419746398926,0.078003503382206,0.129409864544868
"TANZANIA","148",0.986625909805298,2.62711048126221,2.61506700515747
"TANZANIA","149",1.58544492721558,2.34533262252808,2.33458113670349
"TANZANIA","15",0.181520029902458,0.0322224907577038,0.053457960486412
"TANZANIA","150",1.89727020263672,0.168396756052971,0.558749318122864
"TANZANIA","151",1.22314202785492,0.325688689947128,0.720434844493866
"TANZANIA","152",1.87805604934692,9.334716796875,21.6811561584473
"TANZANIA","153",1.00175905227661,0.266740560531616,0.354023724794388
"TANZANIA","154",1.71266102790833,86.798469543457,28.8001899719238
"TANZANIA","156",3.31170964241028,9.21008110046387,9.16785907745361
"TANZANIA","157",0.310336589813232,0.0275446679443121,0.0913946628570557
"TANZANIA","159",0.750817120075226,0.233242005109787,0.663350820541382
"TANZANIA","160",4.28000259399414,3.03905510902405,2.77303004264832
"TANZANIA","17",0.181520029902458,0.0322224907577038,0.053457960486412
"TANZANIA","170",0.310336589813232,0.0826340019702911,0.118813052773476
"TANZANIA","171",0.268627554178238,0.0715280473232269,0.0870224088430405
"TANZANIA","172",0.532015800476074,0.0944406762719154,0.156679570674896
"TANZANIA","174",0.700241982936859,0.186454966664314,0.288711458444595
"TANZANIA","175",2.69663500785828,0.71803891658783,0.794163644313812
"TANZANIA","176",0.519242644309998,1.32114994525909,1.31509351730347
"TANZANIA","177",0.312887609004974,0.0555421784520149,0.110575132071972
"TANZANIA","178",0.312887609004974,0.0555421784520149,0.147433504462242
"TANZANIA","18",0.254843592643738,0.0452385060489178,0.075051873922348
"TANZANIA","180",2.69674944877625,6.34294652938843,4.2092456817627
"TANZANIA","181",0.776022791862488,0.275511056184769,0.548496127128601
"TANZANIA","185",0.634798467159271,1.22076630592346,1.2151700258255
"TANZANIA","188",0.688188374042511,0.122163616120815,0.2026726603508
"TANZANIA","189",0.688188374042511,0.244327232241631,0.364810794591904
"TANZANIA","190",0.418735504150391,4.27407503128052,1.41816079616547
"TANZANIA","191",0.289925009012222,0.0514659769833088,0.085383415222168
"TANZANIA","192",0.966649413108826,0.0857972875237465,0.284679919481277
"TANZANIA","194",1.03126502037048,0.183064788579941,0.303709328174591
"TANZANIA","195",1.04180502891541,0.369871616363525,0.828396081924438
"TANZANIA","197",0.76481831073761,0.0678832828998566,0.225240305066109
"TANZANIA","198",0.519242644309998,0.691299378871918,0.47404533624649
"TANZANIA","199",0.76481831073761,0.339416414499283,0.247764348983765
"TANZANIA","2",0.201282903552055,0.0178653467446566,0.0592781603336334
"TANZANIA","20",0.990366578102112,0.0879023596644402,0.291664659976959
"TANZANIA","200",0.776022791862488,2.41072177886963,1.59978032112122
"TANZANIA","201",0.7176313996315,0.127390190958977,0.211343675851822
"TANZANIA","204",1.12719881534576,0.30014169216156,1.22825932502747
"TANZANIA","205",0.805266618728638,0.0714733675122261,0.23715241253376
"TANZANIA","206",0.619020164012909,0.109885238111019,0.182302504777908
"TANZANIA","207",0.742586135864258,0.26364004611969,0.306170046329498
"TANZANIA","208",0.693878471851349,0.0923802703619003,0.449566513299942
"TANZANIA","209",2.14872479438782,0.572145640850067,0.63280314207077
"TANZANIA","21",0.478452324867249,0.0424661822617054,0.140905037522316
"TANZANIA","210",2.14872479438782,0.381430447101593,0.63280314207077
"TANZANIA","211",2.33014345169067,7.23861026763916,4.80361890792847
"TANZANIA","212",2.33014345169067,0.579088926315308,3.08804035186768
"TANZANIA","213",0.691018462181091,0.0613330006599426,0.203506126999855
"TANZANIA","214",4.00271797180176,,
"TANZANIA","215",4.49344968795776,1.06353843212128,2.91132307052612
"TANZANIA","217",3.98131442070007,1.17790365219116,3.86926293373108
"TANZANIA","218",0.933623254299164,0.41432985663414,0.302449017763138
"TANZANIA","219",0.781047821044922,0.0693237707018852,0.230019927024841
"TANZANIA","22",1.46316277980804,3.89599561691284,5.17084741592407
"TANZANIA","220",0.533377110958099,0.047341164201498,0.17278853058815
"TANZANIA","221",0.418735504150391,0.185829371213913,0.135650157928467
"TANZANIA","222",4.73371028900146,1.68060719966888,1.67290306091309
"TANZANIA","223",0.462135910987854,0.123053938150406,0.136099815368652
"TANZANIA","224",4.44884252548218,0.789735376834869,2.48936438560486
"TANZANIA","225",2.08651852607727,0.925969779491425,1.41331160068512
"TANZANIA","226",3.35290026664734,0.595189392566681,1.77738273143768
"TANZANIA","227",3.98040723800659,1.05987179279327,2.34447360038757
"TANZANIA","23",0.16567000746727,0.0147044388577342,0.0487901009619236
"TANZANIA","230",1.96536004543304,7.84981060028076,5.2092170715332
"TANZANIA","231",0.71524316072464,4.57985401153564,10.637336730957
"TANZANIA","232",0.533377110958099,0.0946823284029961,0.157080471515656
"TANZANIA","233",0.533377110958099,0.0946823284029961,0.157080471515656
"TANZANIA","234",0.533377110958099,0.047341164201498,0.157080471515656
"TANZANIA","237",0.418735504150391,0.0743317455053329,0.123318329453468
"TANZANIA","238",2.14872479438782,0.190715223550797,0.63280314207077
"TANZANIA","24",0.967037737369537,0.128747627139091,0.284794270992279
"TANZANIA","240",0.276679217815399,0.024557325989008,0.081482507288456
"TANZANIA","242",0.461461991071701,0.122874490916729,0.135901346802711
"TANZANIA","243",1.05709767341614,0.187650471925735,0.311317086219788
"TANZANIA","244",0.422493129968643,0.112498171627522,0.124424956738949
